term,module,definition
Bigrams,Module 12 - Gradient Descent and Backpropagation.docx,"Two-word sequences (e.g., ""the quick"", ""quick brown"")."
Binary Classification,Module 12 - Basic Artificial Neural Net (ANN).docx,"In this case, y has binary values (0 or 1), indicating that you're dealing with a binary classification problem. The network is being trained to classify the input samples into one of two categories."
Binary Outcome,Module 08 - Assumptions.docx,"The dependent variable should be binary (i.e., having only two possible outcomes)."
Binomial,Module 10 - GLMs.docx,"Used for binary data (e.g., success/failure, presence/absence) or count data where the number of trials is fixed."
Binomial Distribution,Module 10 - Logarithms.docx,Used for counting events with two possible outcomes (success or failure).
Binomial Theorem,Module 01 - Introduction.docx,"A mathematical formula used to expand powers of binomials. It has applications in probability, statistics, and other fields."
Black Box,Module 12 - Gradient Descent and Backpropagation.docx,"Neural networks, especially deep ones, are often considered ""black boxes"" because it's difficult to fully understand how they arrive at their predictions."
Blind Experiment,Module 03 - Probability.docx,An experiment where participants don't know if they are in the treatment or control group.
"Boosting is based on the question posed by Kearns and Valiant (1988, 1989)",Module 06 - Terms.docx,"""Can a set of weak learners create a single strong learner?""."
Box plots,Module 05 - EDA.docx,To visualize the distribution of a variable across different groups or categories.
Boxplot,Module 13 - Pandas Time Series Complete.docx,"A way to visually represent the distribution of data, showing the median, quartiles, and potential outliers. In the document, it's used to analyze the distribution of the DOW Jones Industrial Average values in 2020, grouped by month."
